,Highest Offense Description,Family Violence,Occurred Date,Location Type,Zip Code,Latitude,Longitude
907349,CRIMINAL MISCHIEF,N,2021-07-04,RESIDENCE / HOME,78748,30.16227606,-97.82622062
907358,FAMILY DISTURBANCE,N,2019-03-28,RESIDENCE / HOME,78758,30.37563184,-97.70729236
907360,THEFT,N,2020-05-09,DEPARTMENT / DISCOUNT STORE,78729,30.46793555,-97.79250733
907398,BURGLARY OF VEHICLE,N,2021-01-23,PARKING /DROP LOT/ GARAGE,78758,30.40323682,-97.72384904
907411,FAMILY DISTURBANCE,N,2021-06-26,RESIDENCE / HOME,78723,30.30755468,-97.67805181
907416,THEFT,N,2021-02-20,RESIDENCE / HOME,78757,30.35605069,-97.73694867
907424,THEFT,N,2021-11-09,RESIDENCE / HOME,78748,30.17443812,-97.79234541
907432,FAMILY DISTURBANCE,N,2019-03-09,RESIDENCE / HOME,78753,30.34453693,-97.70156206
907463,FAMILY DISTURBANCE,N,2021-02-14,RESIDENCE / HOME,78745,30.21835912,-97.8004784
907481,BURGLARY OF VEHICLE,N,2019-03-23,RESIDENCE / HOME,78750,30.4282691,-97.80260772
907497,FAMILY DISTURBANCE,N,2019-01-16,RESIDENCE / HOME,78741,30.23146495,-97.72122433
907518,FAMILY DISTURBANCE,N,2019-11-01,RESIDENCE / HOME,78741,30.23895001,-97.72075262
907546,BURGLARY OF VEHICLE,N,2020-02-26,PARKING /DROP LOT/ GARAGE,78750,30.40673042,-97.79031913
907572,BURGLARY OF VEHICLE,N,2021-04-16,PARKING /DROP LOT/ GARAGE,78741,30.21652526,-97.73963499
907609,BURGLARY OF VEHICLE,N,2021-04-09,RESIDENCE / HOME,78750,30.43230454,-97.78194448
907669,BURGLARY OF VEHICLE,N,2020-05-04,PARKING /DROP LOT/ GARAGE,78758,30.40001636,-97.72345393
907691,BURGLARY OF VEHICLE,N,2020-08-05,RESIDENCE / HOME,78741,30.22249994,-97.70447557
907703,THEFT,N,2020-04-12,SERVICE/ GAS STATION,78724,30.28612372,-97.66388573
907789,THEFT,N,2019-09-10,RESIDENCE / HOME,78744,30.16539856,-97.7387725
907822,FAMILY DISTURBANCE,N,2020-09-01,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.1683339,-97.78259876
907870,FAMILY DISTURBANCE,N,2021-01-19,RESIDENCE / HOME,78726,30.42004712,-97.84416748
907884,FAMILY DISTURBANCE,N,2021-04-10,RESIDENCE / HOME,78758,30.36055719,-97.71281221
907945,FAMILY DISTURBANCE,N,2021-12-22,RESIDENCE / HOME,78731,30.3563326,-97.75091119
907964,THEFT,N,2021-03-16,SPECIALTY  STORE,78744,30.2118759,-97.73170695
907977,FAMILY DISTURBANCE,N,2021-08-29,RESIDENCE / HOME,78753,30.38835808,-97.66148363
908038,FAMILY DISTURBANCE,N,2019-12-02,RESIDENCE / HOME,78745,30.20778191,-97.78829234
908051,BURGLARY OF VEHICLE,N,2020-07-12,PARKING /DROP LOT/ GARAGE,78741,30.23895001,-97.72075262
908065,BURGLARY OF VEHICLE,N,2019-03-09,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.26542699,-97.73356856
908085,BURGLARY OF VEHICLE,N,2021-05-25,PARKING /DROP LOT/ GARAGE,78758,30.37991955,-97.71360885
908095,BURGLARY OF VEHICLE,N,2021-03-05,OTHER / UNKNOWN,78731,30.3542316,-97.78446943
908136,BURGLARY OF VEHICLE,N,2019-10-01,PARKING /DROP LOT/ GARAGE,78753,30.41482764,-97.66781711
908139,THEFT,N,2021-09-16,CONSTRUCTION SITE,78753,30.36010384,-97.69245352
908143,FAMILY DISTURBANCE,N,2019-02-14,RESIDENCE / HOME,78724,30.28896052,-97.64682951
908151,BURGLARY OF VEHICLE,N,2019-01-29,RESIDENCE / HOME,78751,30.30399571,-97.72507124
908213,CRIMINAL MISCHIEF,N,2020-03-22,RESIDENCE / HOME,78701,30.26144862,-97.74110221
908232,BURGLARY OF VEHICLE,N,2021-05-25,PARKING /DROP LOT/ GARAGE,78704,30.249927,-97.75074739
908263,FAMILY DISTURBANCE,N,2019-01-16,RESIDENCE / HOME,78759,30.4155368,-97.78961716
908273,FAMILY DISTURBANCE,N,2021-12-27,RESIDENCE / HOME,78744,30.19806959,-97.74692835
908289,THEFT,N,2020-04-07,RESIDENCE / HOME,78721,30.28303571,-97.67450193
908314,BURGLARY OF VEHICLE,N,2019-04-29,RESIDENCE / HOME,78749,30.23453144,-97.83862652
908317,THEFT,N,2021-10-03,PARK / PLAYGROUND,78746,30.26664529,-97.76342079
908347,CRIMINAL MISCHIEF,N,2020-03-09,RESIDENCE / HOME,78741,30.22527126,-97.72757408
908351,FAMILY DISTURBANCE,N,2019-10-27,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78745,30.1943722,-97.77219145
908352,BURGLARY OF VEHICLE,N,2019-05-14,RESIDENCE / HOME,78702,30.27482933,-97.70560455
908353,THEFT,N,2020-08-16,GROCERY / SUPERMARKET,78751,30.30046387,-97.71965158
908367,THEFT,N,2020-08-17,RESIDENCE / HOME,78721,30.27185663,-97.69304878
908382,FAMILY DISTURBANCE,N,2019-05-04,RESIDENCE / HOME,78702,30.27384983,-97.70759899
908397,THEFT,N,2019-08-03,HOTEL / MOTEL / ETC.,78758,30.39934526,-97.724535
908398,CRIMINAL MISCHIEF,N,2021-03-12,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78704,30.26152076,-97.75790812
908435,THEFT,N,2020-01-04,OTHER / UNKNOWN,78729,30.43898321,-97.75966943
908439,THEFT,N,2020-12-26,AUTO DEALERSHIP NEW / USED,78745,30.20750716,-97.75831583
908446,THEFT,N,2020-12-15,RESIDENCE / HOME,78744,30.17835669,-97.75531294
908493,CRIMINAL MISCHIEF,N,2020-06-01,AIR / BUS / TRAIN TERMINAL,78701,30.26892586,-97.73861057
908516,CRIMINAL MISCHIEF,N,2020-01-03,RESIDENCE / HOME,78741,30.22823527,-97.7329449
908564,CRIMINAL MISCHIEF,N,2020-04-07,OTHER / UNKNOWN,78724,30.29400928,-97.66231112
908638,FAMILY DISTURBANCE,N,2019-01-19,RESIDENCE / HOME,78723,30.31722663,-97.70240838
908664,BURGLARY OF VEHICLE,N,2020-08-29,RESIDENCE / HOME,78704,30.24200034,-97.7568829
908674,CRIMINAL MISCHIEF,N,2021-01-16,RESIDENCE / HOME,78745,30.22341077,-97.80448206
908675,FAMILY DISTURBANCE,N,2019-10-17,RESIDENCE / HOME,78749,30.23392277,-97.85047224
908709,CRIMINAL MISCHIEF,N,2021-08-09,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78704,30.24443887,-97.75779033
908719,THEFT,N,2019-01-28,SPECIALTY  STORE,78723,30.32139752,-97.70582637
908726,BURGLARY OF VEHICLE,N,2020-02-23,PARKING /DROP LOT/ GARAGE,78704,30.24227749,-97.78296434
908797,CRIMINAL MISCHIEF,N,2019-05-21,RESIDENCE / HOME,78753,30.35491448,-97.70037506
908812,CRIMINAL MISCHIEF,N,2020-04-13,RESIDENCE / HOME,78744,30.19732004,-97.74849035
908820,BURGLARY OF VEHICLE,N,2019-11-30,OTHER / UNKNOWN,78746,30.27864105,-97.83259078
908836,FAMILY DISTURBANCE,N,2021-06-07,RESIDENCE / HOME,78758,30.36917195,-97.71701874
908872,FAMILY DISTURBANCE,N,2021-11-06,RESIDENCE / HOME,78723,30.31067426,-97.68446439
908882,FAMILY DISTURBANCE,N,2020-07-13,OTHER / UNKNOWN,78751,30.32369603,-97.7257244
908892,BURGLARY OF VEHICLE,N,2020-03-04,SERVICE/ GAS STATION,78744,30.19049955,-97.76943208
908920,THEFT,N,2019-04-19,RESTAURANT,78759,30.39160411,-97.7324475
908954,THEFT,N,2019-10-12,GROCERY / SUPERMARKET,78753,30.41358272,-97.67568972
908958,CRIMINAL MISCHIEF,N,2019-03-07,RESIDENCE / HOME,78741,30.23364383,-97.73071195
908975,THEFT,N,2020-11-05,DEPARTMENT / DISCOUNT STORE,78723,30.30635266,-97.70916489
909010,FAMILY DISTURBANCE,N,2021-05-26,RESIDENCE / HOME,78748,30.17765536,-97.82326388
909070,FAMILY DISTURBANCE,N,2019-10-12,RESIDENCE / HOME,78745,30.19084407,-97.77786025
909194,THEFT,N,2021-09-04,BAR / NIGHTCLUB,78701,30.27020584,-97.74968842
909206,BURGLARY OF VEHICLE,N,2020-10-29,PARKING /DROP LOT/ GARAGE,78749,30.21629693,-97.84115901
909213,FAMILY DISTURBANCE,N,2020-04-01,RESIDENCE / HOME,78751,30.31232977,-97.7315917
909235,BURGLARY OF VEHICLE,N,2021-02-19,RESIDENCE / HOME,78751,30.30857954,-97.73246626
909238,FAMILY DISTURBANCE,N,2019-05-23,RESIDENCE / HOME,78741,30.22894903,-97.69428829
909239,THEFT,N,2019-01-04,COMMERCIAL / OFFICE BUILDING,78759,30.41824704,-97.71487431
909262,THEFT,N,2020-06-18,RESIDENCE / HOME,78757,30.34319879,-97.73452947
909265,CRIMINAL MISCHIEF,N,2021-03-27,PARKING /DROP LOT/ GARAGE,78748,30.16548757,-97.78952006
909285,BURGLARY OF VEHICLE,N,2020-02-10,PARKING /DROP LOT/ GARAGE,78703,30.27603742,-97.7579296
909311,FAMILY DISTURBANCE,N,2019-01-14,RESIDENCE / HOME,78758,30.4067901,-97.69786669
909365,BURGLARY OF VEHICLE,N,2020-02-10,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78721,30.27875956,-97.68010828
909400,FAMILY DISTURBANCE,N,2019-05-20,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78745,30.21324823,-97.83008784
909403,THEFT,N,2021-05-14,SERVICE/ GAS STATION,78701,30.27058401,-97.74144944
909410,FAMILY DISTURBANCE,N,2020-05-27,RESIDENCE / HOME,78741,30.2162961,-97.7355211
909432,FAMILY DISTURBANCE,N,2020-01-27,RESIDENCE / HOME,78748,30.16456484,-97.79998917
909474,THEFT,N,2021-08-09,RESIDENCE / HOME,78744,30.18037378,-97.75086521
909476,THEFT,N,2019-12-31,PARK / PLAYGROUND,78704,30.24140646,-97.76867918
909509,CRIMINAL MISCHIEF,N,2021-03-18,RESIDENCE / HOME,78702,30.27683009,-97.71736032
909515,BURGLARY OF VEHICLE,N,2020-02-23,PARKING /DROP LOT/ GARAGE,78703,30.28029499,-97.75806952
909524,FAMILY DISTURBANCE,N,2021-08-02,RESIDENCE / HOME,78724,30.30161114,-97.65044897
909525,CRIMINAL MISCHIEF,N,2019-06-12,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.28995003,-97.66443912
909572,CRIMINAL MISCHIEF,N,2020-05-26,RESIDENCE / HOME,78723,30.30755468,-97.67805181
909593,FAMILY DISTURBANCE,N,2021-11-07,RESIDENCE / HOME,78724,30.3190283,-97.65763354
909621,BURGLARY OF VEHICLE,N,2020-07-15,RESIDENCE / HOME,78753,30.41432096,-97.67840164
909625,THEFT,N,2021-09-30,RESIDENCE / HOME,78727,30.43219011,-97.74518419
909664,THEFT,N,2019-07-03,HOTEL / MOTEL / ETC.,78758,30.37493766,-97.72611518
909695,BURGLARY OF VEHICLE,N,2019-12-25,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78753,30.39513813,-97.66295192
909713,FAMILY DISTURBANCE,N,2020-11-20,RESIDENCE / HOME,78748,30.17728423,-97.82214977
909715,CRIMINAL MISCHIEF,N,2020-11-18,RESIDENCE / HOME,78744,30.20524252,-97.75566255
909742,BURGLARY OF VEHICLE,N,2020-08-21,PARKING /DROP LOT/ GARAGE,78753,30.3522535,-97.69281751
909783,FAMILY DISTURBANCE,N,2020-08-28,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78753,30.36253192,-97.67830802
909807,BURGLARY OF VEHICLE,N,2020-09-25,RESIDENCE / HOME,78724,30.32884413,-97.64198083
909824,BURGLARY OF VEHICLE,N,2019-06-24,COMMERCIAL / OFFICE BUILDING,78759,30.40543814,-97.74440154
909832,CRIMINAL MISCHIEF,N,2020-04-17,OTHER / UNKNOWN,78745,30.20881002,-97.80409164
909848,BURGLARY OF VEHICLE,N,2019-08-03,RESTAURANT,78759,30.39160411,-97.7324475
909854,BURGLARY OF VEHICLE,N,2020-06-15,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78758,30.39231848,-97.69657124
909888,CRIMINAL MISCHIEF,N,2021-06-09,HOTEL / MOTEL / ETC.,78753,30.37856547,-97.67585857
909898,THEFT,N,2021-05-09,RESIDENCE / HOME,78704,30.23594169,-97.77638817
909963,FAMILY DISTURBANCE,N,2020-08-14,RESIDENCE / HOME,78752,30.33101147,-97.68424211
909977,CRIMINAL MISCHIEF,N,2021-12-10,PARKING /DROP LOT/ GARAGE,78704,30.25408903,-97.76227233
909989,FAMILY DISTURBANCE,N,2019-04-22,RESIDENCE / HOME,78744,30.16514027,-97.73824136
909996,FAMILY DISTURBANCE,N,2020-08-04,RESIDENCE / HOME,78741,30.23433699,-97.71398508
909997,THEFT,N,2021-03-01,RESIDENCE / HOME,78723,30.31514003,-97.69001946
909998,FAMILY DISTURBANCE,N,2019-07-04,RESIDENCE / HOME,78748,30.17425839,-97.82661247
910020,FAMILY DISTURBANCE,N,2021-03-27,RESIDENCE / HOME,78759,30.41227059,-97.73083321
910035,FAMILY DISTURBANCE,N,2019-06-10,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,78731,30.30915613,-97.75078209
910049,BURGLARY OF VEHICLE,N,2019-12-23,COMMERCIAL / OFFICE BUILDING,78745,30.20033189,-97.76888301
910050,BURGLARY OF VEHICLE,N,2020-02-05,RESIDENCE / HOME,78752,30.33211354,-97.69955467
910066,CRIMINAL MISCHIEF,N,2021-03-01,DEPARTMENT / DISCOUNT STORE,78702,30.25964877,-97.71037091
910095,THEFT,N,2020-03-01,BAR / NIGHTCLUB,78701,30.27025454,-97.75005784
910102,FAMILY DISTURBANCE,N,2020-07-14,RESIDENCE / HOME,78702,30.27394359,-97.71338889
910162,THEFT,N,2019-02-03,BAR / NIGHTCLUB,78701,30.2665025,-97.73818776
910183,BURGLARY OF VEHICLE,N,2021-06-23,OTHER / UNKNOWN,78727,30.43210567,-97.71727816
910194,CRIMINAL MISCHIEF,N,2021-03-29,RESTAURANT,78702,30.26255659,-97.7035623
910197,FAMILY DISTURBANCE,N,2020-08-14,RESIDENCE / HOME,78745,30.21682944,-97.79697802
910199,BURGLARY OF VEHICLE,N,2020-09-14,PARKING /DROP LOT/ GARAGE,78741,30.24271748,-97.73059094
910214,THEFT,N,2019-09-18,SERVICE/ GAS STATION,78745,30.21711831,-97.79587155
910216,THEFT,N,2019-06-16,BAR / NIGHTCLUB,78701,30.26618573,-97.73558546
910223,THEFT,N,2020-01-25,DEPARTMENT / DISCOUNT STORE,78746,30.25788603,-97.80700704
910233,FAMILY DISTURBANCE,N,2020-12-12,RESIDENCE / HOME,78723,30.29674781,-97.6879971
910279,THEFT,N,2019-10-11,DEPARTMENT / DISCOUNT STORE,78723,30.31639292,-97.70614651
910289,THEFT,N,2019-11-30,HOTEL / MOTEL / ETC.,78751,30.32115974,-97.70818203
910317,BURGLARY OF VEHICLE,N,2019-01-11,COMMERCIAL / OFFICE BUILDING,78758,30.37215883,-97.72471534
910324,FAMILY DISTURBANCE,N,2019-07-22,HOTEL / MOTEL / ETC.,78751,30.32085369,-97.70935384
910355,BURGLARY OF VEHICLE,N,2021-05-30,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78746,30.35004041,-97.79683046
910356,BURGLARY OF VEHICLE,N,2019-04-27,RESIDENCE / HOME,78704,30.25958739,-97.74780866
910389,BURGLARY OF VEHICLE,N,2020-09-09,RESIDENCE / HOME,78758,30.40386925,-97.69800365
910392,CRIMINAL MISCHIEF,N,2019-02-27,PARKING /DROP LOT/ GARAGE,78746,30.27857293,-97.77356362
910393,BURGLARY OF VEHICLE,N,2019-07-25,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78704,30.25107106,-97.74951613
910415,BURGLARY OF VEHICLE,N,2021-02-08,RESIDENCE / HOME,78758,30.3970051,-97.72428422
910433,CRIMINAL MISCHIEF,N,2019-11-17,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78724,30.29945618,-97.64355791
910442,BURGLARY OF VEHICLE,N,2020-01-19,COMMERCIAL / OFFICE BUILDING,78704,30.2348561,-97.78968835
910490,FAMILY DISTURBANCE,N,2020-03-04,RESIDENCE / HOME,78756,30.32723107,-97.73334897
910611,BURGLARY OF VEHICLE,N,2019-11-11,OTHER / UNKNOWN,78703,30.27179915,-97.75984562
910639,BURGLARY OF VEHICLE,N,2019-09-06,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.26548921,-97.73040161
910641,THEFT,N,2019-10-07,OTHER / UNKNOWN,78745,30.22056844,-97.76173947
910660,CRIMINAL MISCHIEF,N,2020-07-11,BANK / SAVINGS & LOAN,78750,30.43415012,-97.77214522
910664,BURGLARY OF VEHICLE,N,2019-01-17,OTHER / UNKNOWN,78729,30.44827674,-97.78795296
910712,THEFT,N,2019-02-27,SCHOOL/COLLEGE,78750,30.42805083,-97.78504358
910778,BURGLARY OF VEHICLE,N,2019-10-14,RESIDENCE / HOME,78745,30.21738784,-97.78009682
910826,THEFT,N,2019-12-07,OTHER / UNKNOWN,78723,30.30909085,-97.70628825
910855,CRIMINAL MISCHIEF,N,2019-04-19,COMMERCIAL / OFFICE BUILDING,78704,30.22489,-97.75726332
910857,FAMILY DISTURBANCE,N,2019-04-23,RESIDENCE / HOME,78756,30.32342427,-97.73672651
910883,FAMILY DISTURBANCE,N,2020-05-02,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78705,30.29578513,-97.74729218
910884,BURGLARY OF VEHICLE,N,2020-01-18,PARKING /DROP LOT/ GARAGE,78748,30.17360783,-97.80472176
910889,BURGLARY OF VEHICLE,N,2020-06-03,PARKING /DROP LOT/ GARAGE,78702,30.26755004,-97.73342267
910895,BURGLARY OF VEHICLE,N,2021-07-11,RESIDENCE / HOME,78729,30.44708229,-97.76925565
911027,CRIMINAL MISCHIEF,N,2020-12-28,DEPARTMENT / DISCOUNT STORE,78759,30.39283702,-97.74417834
911041,BURGLARY OF VEHICLE,N,2021-11-24,RESIDENCE / HOME,78735,30.2486643,-97.87658241
911051,BURGLARY OF VEHICLE,N,2020-03-05,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.23769583,-97.73088466
911111,BURGLARY OF VEHICLE,N,2019-06-14,PARKING /DROP LOT/ GARAGE,78704,30.26234441,-97.76153289
911115,FAMILY DISTURBANCE,N,2020-08-23,RESIDENCE / HOME,78717,30.48157204,-97.76914102
911126,FAMILY DISTURBANCE,N,2019-01-06,RESIDENCE / HOME,78721,30.26922352,-97.69513602
911128,FAMILY DISTURBANCE,N,2020-08-24,RESIDENCE / HOME,78758,30.36733224,-97.70237685
911137,THEFT,N,2020-06-20,BAR / NIGHTCLUB,78702,30.26510619,-97.7317205
911184,THEFT,N,2020-07-30,BAR / NIGHTCLUB,78701,30.26698472,-97.74516765
911233,CRIMINAL MISCHIEF,N,2019-11-08,PARKING /DROP LOT/ GARAGE,78745,30.20687718,-97.78622313
911276,FAMILY DISTURBANCE,N,2020-07-18,HOTEL / MOTEL / ETC.,78744,30.20847131,-97.75483858
911316,FAMILY DISTURBANCE,N,2021-02-03,RESIDENCE / HOME,78729,30.4443178,-97.77461123
911325,THEFT,N,2019-06-04,SERVICE/ GAS STATION,78753,30.35755097,-97.68589182
911342,THEFT,N,2020-07-04,RESIDENCE / HOME,78751,30.30491236,-97.71472259
911374,FAMILY DISTURBANCE,N,2020-05-09,RESIDENCE / HOME,78724,30.30161114,-97.65044897
911408,BURGLARY OF VEHICLE,N,2021-11-20,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.26242533,-97.72013322
911412,CRIMINAL MISCHIEF,N,2019-05-13,RESIDENCE / HOME,78723,30.31722663,-97.70240838
911423,FAMILY DISTURBANCE,N,2019-02-18,RESIDENCE / HOME,78702,30.26046842,-97.72532831
911478,FAMILY DISTURBANCE,N,2019-01-20,RESIDENCE / HOME,78745,30.20884343,-97.78579763
911486,BURGLARY OF VEHICLE,N,2020-05-24,PARKING /DROP LOT/ GARAGE,78701,30.25370054,-97.73714423
911489,FAMILY DISTURBANCE,N,2021-10-15,RESIDENCE / HOME,78741,30.23468195,-97.72482422
911579,BURGLARY OF VEHICLE,N,2019-06-13,COMMERCIAL / OFFICE BUILDING,78704,30.25679173,-97.75142551
911580,BURGLARY OF VEHICLE,N,2019-10-27,PARKING /DROP LOT/ GARAGE,78741,30.23433699,-97.71398508
911613,CRIMINAL MISCHIEF,N,2019-03-13,PARKING /DROP LOT/ GARAGE,78701,30.26487905,-97.74699207
911625,FAMILY DISTURBANCE,N,2019-03-07,RESIDENCE / HOME,78704,30.23842839,-97.7834461
911631,THEFT,N,2021-06-01,RESIDENCE / HOME,78727,30.42674705,-97.72777955
911637,CRIMINAL MISCHIEF,N,2021-03-21,RESIDENCE / HOME,78748,30.17742281,-97.82206386
911639,BURGLARY OF VEHICLE,N,2019-03-02,RESIDENCE / HOME,78723,30.32238174,-97.68082997
911678,FAMILY DISTURBANCE,N,2019-01-22,RESIDENCE / HOME,78724,30.28119367,-97.62892836
911717,FAMILY DISTURBANCE,N,2020-07-07,RESIDENCE / HOME,78754,30.35641763,-97.65080836
911740,FAMILY DISTURBANCE,N,2021-03-02,RESIDENCE / HOME,78723,30.30063733,-97.68043552
911773,THEFT,N,2020-04-29,GROCERY / SUPERMARKET,78704,30.2379286,-97.79317403
911798,THEFT,N,2021-04-23,RESIDENCE / HOME,78758,30.3988643,-97.69656672
911810,FAMILY DISTURBANCE,N,2021-05-24,RESIDENCE / HOME,78723,30.28543587,-97.69882861
911827,FAMILY DISTURBANCE,N,2021-07-10,PARKING /DROP LOT/ GARAGE,78744,30.1683339,-97.78259876
911834,FAMILY DISTURBANCE,N,2020-04-17,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78752,30.33112918,-97.70037103
911904,THEFT,N,2020-05-23,PARK / PLAYGROUND,78756,30.31328551,-97.74388459
911910,THEFT,N,2019-01-07,RESIDENCE / HOME,78703,30.30265056,-97.7574286
912008,FAMILY DISTURBANCE,N,2020-03-21,RESIDENCE / HOME,78741,30.23258831,-97.72209348
912012,BURGLARY OF VEHICLE,N,2019-09-07,DEPARTMENT / DISCOUNT STORE,78758,30.41258467,-97.70253486
912024,CRIMINAL MISCHIEF,N,2021-11-28,PARKING /DROP LOT/ GARAGE,78704,30.25952831,-97.74869734
912035,BURGLARY OF VEHICLE,N,2019-04-26,OTHER / UNKNOWN,78702,30.26084978,-97.72514692
912091,THEFT,N,2019-02-22,OTHER / UNKNOWN,78756,30.32594182,-97.72633901
912127,FAMILY DISTURBANCE,N,2021-11-27,RESIDENCE / HOME,78729,30.44214343,-97.74913227
912128,BURGLARY OF VEHICLE,N,2020-02-25,HOTEL / MOTEL / ETC.,78744,30.21270062,-97.70515393
912133,FAMILY DISTURBANCE,N,2019-12-19,RESIDENCE / HOME,78729,30.4443178,-97.77461123
912177,BURGLARY OF VEHICLE,N,2019-09-21,PARK / PLAYGROUND,78746,30.27424864,-97.77435005
912222,BURGLARY OF VEHICLE,N,2019-07-10,RESIDENCE / HOME,78757,30.34950752,-97.74347353
912230,CRIMINAL MISCHIEF,N,2021-04-06,RESTAURANT,78723,30.32132112,-97.70639276
912236,FAMILY DISTURBANCE,N,2021-05-23,RESIDENCE / HOME,78723,30.31663094,-97.66269304
912243,FAMILY DISTURBANCE,N,2021-07-02,RESIDENCE / HOME,78745,30.20017374,-97.80839271
912352,BURGLARY OF VEHICLE,N,2020-04-20,PARKING /DROP LOT/ GARAGE,78731,30.32363632,-97.77339212
912356,THEFT,N,2019-09-30,RESIDENCE / HOME,78748,30.17505035,-97.83026064
912397,CRIMINAL MISCHIEF,N,2019-10-27,RESTAURANT,78702,30.26633899,-97.73378481
912431,THEFT,N,2021-11-13,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26730999,-97.74261779
912441,CRIMINAL MISCHIEF,N,2021-12-16,RESIDENCE / HOME,78703,30.27712972,-97.76068901
912480,BURGLARY OF VEHICLE,N,2020-07-22,RESIDENCE / HOME,78751,30.31586842,-97.72409727
912519,FAMILY DISTURBANCE,N,2020-12-26,PARKING /DROP LOT/ GARAGE,78723,30.31639292,-97.70614651
912552,THEFT,N,2019-03-01,OTHER / UNKNOWN,78758,30.35640453,-97.71498647
912560,BURGLARY OF VEHICLE,N,2020-07-05,PARKING /DROP LOT/ GARAGE,78753,30.39495992,-97.6528231
912588,BURGLARY OF VEHICLE,N,2019-10-03,RESIDENCE / HOME,78746,30.25587993,-97.7988732
912732,FAMILY DISTURBANCE,N,2020-08-01,RESIDENCE / HOME,78723,30.30755468,-97.67805181
912790,BURGLARY OF VEHICLE,N,2020-04-23,RESIDENCE / HOME,78741,30.24061511,-97.7344646
912793,FAMILY DISTURBANCE,N,2021-04-25,RESIDENCE / HOME,78727,30.43642703,-97.73341209
912814,CRIMINAL MISCHIEF,N,2021-12-08,RESIDENCE / HOME,78729,30.44759799,-97.77621927
912838,FAMILY DISTURBANCE,N,2020-09-26,RESIDENCE / HOME,78757,30.34561496,-97.7337826
912849,BURGLARY OF VEHICLE,N,2019-07-14,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.15845739,-97.77969134
912854,THEFT,N,2021-09-18,RESIDENCE / HOME,78731,30.37342153,-97.77470646
912869,FAMILY DISTURBANCE,N,2021-05-11,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78753,30.41671568,-97.65704178
912871,FAMILY DISTURBANCE,N,2019-03-22,RENTAL STORAGE FACILITY,78721,30.28423787,-97.67186382
912906,CRIMINAL MISCHIEF,N,2021-11-13,RESTAURANT,78745,30.19061184,-97.7722943
912930,FAMILY DISTURBANCE,N,2019-07-25,RESIDENCE / HOME,78752,30.3323658,-97.71873343
912935,CRIMINAL MISCHIEF,N,2019-11-29,OTHER / UNKNOWN,78704,30.24156293,-97.75797157
912960,FAMILY DISTURBANCE,N,2021-01-25,RESIDENCE / HOME,78745,30.19148253,-97.77553852
913051,FAMILY DISTURBANCE,N,2020-04-13,RESIDENCE / HOME,78741,30.22577575,-97.73887666
913077,BURGLARY OF VEHICLE,N,2020-04-04,PARKING /DROP LOT/ GARAGE,78754,30.40514245,-97.64220521
913080,THEFT,N,2019-09-03,AIR / BUS / TRAIN TERMINAL,78722,30.28744649,-97.70700728
913128,THEFT,N,2021-08-09,OTHER / UNKNOWN,78723,30.29127754,-97.70324248
913136,CRIMINAL MISCHIEF,N,2021-08-21,COMMERCIAL / OFFICE BUILDING,78756,30.31748072,-97.74052895
913212,BURGLARY OF VEHICLE,N,2020-05-22,PARKING /DROP LOT/ GARAGE,78758,30.37065386,-97.71969052
913220,CRIMINAL MISCHIEF,N,2020-03-24,PARKING /DROP LOT/ GARAGE,78758,30.39868407,-97.71813109
913265,FAMILY DISTURBANCE,N,2021-11-05,RESIDENCE / HOME,78730,30.35742942,-97.79566252
913279,THEFT,N,2019-12-04,COMMERCIAL / OFFICE BUILDING,78759,30.42530717,-97.75809548
913290,BURGLARY OF VEHICLE,N,2020-06-16,PARKING /DROP LOT/ GARAGE,78741,30.22166373,-97.68884052
913349,CRIMINAL MISCHIEF,N,2019-10-05,PARKING /DROP LOT/ GARAGE,78751,30.29816279,-97.72037316
913350,FAMILY DISTURBANCE,N,2020-06-06,RESIDENCE / HOME,78702,30.27354536,-97.72298508
913384,BURGLARY OF VEHICLE,N,2019-05-30,BANK / SAVINGS & LOAN,78759,30.40009239,-97.73995396
913447,THEFT,N,2019-07-15,RESIDENCE / HOME,78750,30.3816016,-97.78731473
